date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO
2023/06/27,7:10 PM.,NYM,MIL,away,Cloudy.,76,656849,LF,2,1,0,0,0,0,0,0,2,1,0,.271,.368,.429,.797,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.422,0.13,0.338,0.378,89.0,97.0,99.0,76.0,95.0,87.0,97.0,97.0,95.0,105.0,99.0,102.0,,,,,,,0.253,0.273,,,0.197,0.088,-0.83,,,0.66,-2.58,2.63,92.7,,,91.5,85.3,78.6,0.314,0.486,0.165,,,,,,,0.287,0.425,0.281,,,,0.268,0.472,0.39399999999999996,84.0,97.0,93.0,0.189,-1.35,85.3,0.325,0.55,0.309,0.2,0.2,0.365,,,,,,,,,
2023/06/26,7:10 PM.,NYM,MIL,away,Cloudy.,74,434378,LF,4,0,2,0,0,0,0,0,1,1,1,.273,.367,.432,.799,434378,justinverlander,Verlander,Right,Justin Verlander,- - -,3.22,3.63,162.1,104.0,106.0,105.0,0.8,7.98,2.49,7.71,1.0,0.79,0.232,0.438,0.168,0.307,0.433,105.0,103.0,106.0,97.0,100.0,100.0,,,,127.0,112.0,111.0,,,,,,,,0.5,,,0.253,0.2,0.89,,,,0.97,0.43,94.3,,,,86.9,78.2,,,,,,,,,,0.235,0.417,0.18100000000000002,,,,0.201,0.325,0.292,102.0,107.0,113.0,0.047,-0.23,85.2,0.214,0.286,0.28600000000000003,0.241,0.328,0.244,,,,,,,,,
2023/06/25,1:42 PM.,CLE,MIL,away,Sunny.,86,650644,DH,5,1,2,1,0,0,1,0,0,1,1,.270,.363,.431,.794,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,3.46,3.69,122.1,106.0,105.0,104.0,0.786,8.53,2.43,8.02,0.88,1.0,0.212,0.458,0.149,0.307,0.413,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,96.0,104.0,103.0,58.0,95.0,95.0,0.185,0.123,0.372,0.017,0.058,0.244,-0.65,1.13,-6.33,1.59,0.15,0.77,91.8,87.7,85.2,92.4,82.5,78.1,0.202,0.292,0.14400000000000002,,,,0.261,0.406,0.23399999999999999,0.359,0.436,0.243,0.5,0.625,0.182,0.172,0.345,0.23199999999999998,,,,,,,,,,0.188,0.323,0.273,,,,,,,,,
2023/06/24,4:11 PM.,CLE,MIL,away,Partly Cloudy.,74,676440,LF,2,2,1,0,0,0,0,1,2,0,0,.268,.362,.428,.790,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.383,0.168,0.302,0.427,88.0,98.0,102.0,91.0,97.0,91.0,,,,110.0,106.0,115.0,,,,,,,,0.471,,,0.27,0.093,0.6,,,,1.35,-1.11,94.9,,,,84.7,78.3,,,,,,,,,,0.243,0.348,0.19,,,,0.206,0.355,0.317,101.0,98.0,105.0,0.166,1.07,83.8,0.213,0.298,0.37799999999999995,0.271,0.479,0.233,,,,,,,,,
2023/06/23,7:10 PM.,CLE,MIL,away,Cloudy.,68,669456,LF,5,0,1,0,0,0,1,0,0,2,1,.266,.357,.427,.784,669456,shanebieber,Bieber,Right,Shane Bieber,CLE,3.8,4.83,128.0,101.0,100.0,99.0,0.77,7.52,2.39,8.72,0.98,1.56,0.238,0.395,0.147,0.328,0.42,,,,81.0,103.0,96.0,,,,111.0,107.0,109.0,95.0,94.0,93.0,,,,,0.352,0.269,,0.207,,0.87,0.43,,,0.84,,91.3,86.5,,,84.6,,,,,,,,0.316,0.465,0.293,0.257,0.434,0.09300000000000001,,,,0.18,0.331,0.326,59.0,93.0,85.0,0.035,-4.04,87.2,0.5,0.571,0.083,0.237,0.368,0.32299999999999995,155.0,104.0,109.0,0.137,-1.29,82.5,,,
2023/06/21,1:12 PM.,AZ,MIL,home,Sunny.,78,668678,LF,4,0,1,0,0,0,0,0,0,2,1,.267,.360,.431,.791,668678,zacgallen,Gallen,Right,Zac Gallen,ARI,3.47,4.16,210.0,104.0,106.0,107.0,0.761,9.43,2.01,8.06,0.94,1.19,0.223,0.418,0.098,0.401,0.419,,,,104.0,104.0,106.0,97.0,95.0,92.0,105.0,116.0,112.0,106.0,99.0,94.0,,,,0.007,0.491,0.092,,0.045,,1.59,-2.24,,-3.38,0.34,,93.6,90.2,,93.0,87.4,,0.286,0.714,0.125,,,,0.352,0.648,0.205,0.238,0.36,0.192,,,,0.25,0.389,0.265,86.0,107.0,114.0,0.139,1.05,86.8,0.21,0.336,0.314,0.21,0.344,0.405,121.0,104.0,112.0,0.227,0.46,82.5,,,
2023/06/20,7:10 PM.,AZ,MIL,home,Clear.,74,669194,LF,4,0,0,0,0,0,1,0,0,1,2,.267,.361,.434,.795,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,5.31,5.27,144.0,104.0,101.0,103.0,0.823,6.0,2.88,9.94,1.5,0.83,0.229,0.413,0.131,0.362,0.463,99.0,94.0,98.0,102.0,104.0,103.0,,,,106.0,105.0,113.0,101.0,111.0,105.0,,,,,0.546,0.135,,0.134,0.052,-0.72,-1.72,,,0.52,-2.44,94.4,85.6,,,81.7,76.4,,,,,,,0.326,0.539,0.218,0.308,0.553,0.16699999999999998,,,,0.174,0.565,0.257,96.0,96.0,98.0,0.133,-0.16,83.3,0.203,0.407,0.312,0.429,0.714,0.182,,,,,,,,,
2023/06/19,7:10 PM.,AZ,MIL,home,Clear.,79,518876,LF,3,0,1,0,1,0,1,0,0,1,0,.272,.366,.441,.807,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,121.0,105.0,111.0,78.0,104.0,97.0,85.0,105.0,95.0,104.0,112.0,110.0,87.0,101.0,99.0,,,,0.122,0.301,0.181,,0.055,0.11,0.04,0.88,,0.83,-0.64,-0.45,92.2,90.8,,92.4,85.5,82.1,0.261,0.378,0.163,,,,0.22,0.352,0.244,0.224,0.489,0.259,,,,0.217,0.391,0.413,99.0,108.0,114.0,0.231,2.43,88.7,0.18,0.234,0.32,0.268,0.411,0.256,,,,,,,,,
2023/06/18,1:11 PM.,PIT,MIL,home,Overcast.,73,682847,LF,3,1,2,2,0,0,0,0,1,1,0,.271,.367,.434,.801,682847,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294,0.343,0.135,,,,,,,0.383,0.704,0.156,,,,0.246,0.449,0.312,,,,,,,0.209,0.209,0.341,,,,,,,,,,,,
2023/06/17,3:10 PM.,PIT,MIL,home,Sunny.,77,656605,LF,3,1,1,0,0,0,0,0,1,1,0,.266,.361,.423,.784,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.21,4.18,194.1,103.0,104.0,103.0,0.797,9.73,2.55,8.66,1.16,1.29,0.277,0.358,0.172,0.31,0.456,91.0,94.0,98.0,100.0,106.0,100.0,93.0,106.0,100.0,142.0,104.0,123.0,99.0,98.0,99.0,,,,0.228,0.261,0.242,,0.161,0.08,0.66,-0.07,,1.66,-0.5,-1.97,95.2,89.7,,93.9,82.8,78.0,0.258,0.346,0.105,,,,0.316,0.503,0.23600000000000002,0.176,0.351,0.302,,,,0.221,0.324,0.272,83.0,104.0,97.0,0.028,-2.63,90.7,0.36,0.6,0.21100000000000002,0.273,0.614,0.235,,,,,,,,,
2023/06/16,7:11 PM.,PIT,MIL,home,Clear.,64,448179,LF,3,1,0,0,0,0,0,0,1,1,2,.265,.359,.424,.783,448179,richhill,Hill,Left,Rich Hill,- - -,5.41,5.66,146.1,97.0,94.0,97.0,0.832,7.93,3.57,10.15,1.41,1.01,0.196,0.459,0.14,0.336,0.448,116.0,94.0,103.0,77.0,102.0,94.0,98.0,101.0,98.0,90.0,92.0,97.0,85.0,97.0,93.0,,,,0.04,0.342,0.147,,0.088,0.354,-0.32,-1.27,,2.5,-2.52,-1.16,88.4,83.3,,86.1,71.1,72.0,0.105,0.105,0.226,,,,0.39,0.701,0.19899999999999998,0.249,0.454,0.218,,,,0.5,0.929,0.125,80.0,81.0,80.0,0.023,-0.06,83.0,0.263,0.421,0.037000000000000005,0.283,0.47,0.174,,,,0.008,-3.65,67.1,,,
2023/06/14,12:11 PM.,MIN,MIL,away,Overcast.,83,641927,LF,4,0,2,1,0,0,0,0,0,0,0,.269,.361,.430,.791,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.43,3.63,144.1,105.0,83.0,101.0,0.739,9.1,1.81,7.79,1.37,0.69,0.22,0.435,0.152,0.324,0.411,100.0,108.0,106.0,73.0,107.0,99.0,,,,83.0,99.0,96.0,,,,,,,,0.457,,,0.196,0.067,0.75,,,,-0.7,1.44,91.3,,,,81.0,77.5,,,,,,,,,,0.232,0.425,0.27699999999999997,,,,0.255,0.48,0.32899999999999996,94.0,106.0,105.0,0.28,1.08,83.7,0.226,0.35,0.298,0.194,0.306,0.161,,,,,,,,,
2023/06/13,6:41 PM.,MIN,MIL,away,Partly Cloudy.,84,641154,LF,5,2,3,1,0,1,4,0,0,0,0,.265,.359,.424,.783,641154,pablolopez,"López, P",Right,Pablo López,MIN,3.66,3.0,194.0,107.0,99.0,109.0,0.717,10.86,2.23,8.16,1.11,1.25,0.208,0.438,0.175,0.295,0.428,93.0,110.0,114.0,100.0,108.0,105.0,98.0,105.0,104.0,111.0,106.0,114.0,,,,,,,0.106,0.345,,,0.214,0.125,0.1,,,2.08,1.34,0.25,94.9,,,94.5,84.4,82.5,0.278,0.342,0.126,,,,,,,0.268,0.468,0.315,,,,0.173,0.287,0.366,90.0,108.0,109.0,0.211,-0.17,88.4,0.257,0.41,0.284,0.202,0.33,0.364,,,,,,,,,
2023/06/11,1:11 PM.,OAK,MIL,home,Roof Closed.,66,676664,DH,4,2,2,0,0,1,1,0,1,1,1,.258,.354,.403,.757,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,,,,93.0,102.0,96.0,,,,93.0,102.0,106.0,,,,,,,0.001,0.501,,,0.346,,-0.84,,,0.63,-0.06,,93.1,,,92.1,81.4,,,,,,,,,,,0.256,0.478,0.217,,,,0.21,0.395,0.28300000000000003,83.0,100.0,102.0,0.151,0.36,84.1,0.277,0.438,0.225,,,,,,,,,,,,
2023/06/10,3:11 PM.,OAK,MIL,home,Cloudy.,81,621112,LF,5,0,1,0,0,0,0,0,0,1,1,.253,.350,.389,.739,621112,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.43,4.42,103.2,100.0,87.0,97.0,0.778,9.03,3.73,10.16,0.95,1.17,0.246,0.38,0.166,0.297,0.346,89.0,104.0,104.0,77.0,95.0,87.0,82.0,96.0,87.0,91.0,103.0,108.0,106.0,100.0,100.0,,,,0.24,0.146,0.204,,0.181,0.117,-2.52,-2.38,,-0.75,0.46,1.69,91.9,88.9,,91.8,80.8,79.1,0.306,0.435,0.15,,,,0.435,0.624,0.159,0.383,0.553,0.17,,,,0.198,0.308,0.344,67.0,108.0,96.0,0.112,2.14,86.0,0.143,0.286,0.389,0.14,0.326,0.245,,,,,,,,,
2023/06/09,7:11 PM.,OAK,MIL,home,Clear.,74,594580,LF,3,0,0,0,0,0,0,0,1,3,2,.254,.353,.393,.746,594580,sammoll,Moll,Left,Sam Moll,- - -,3.03,2.84,62.1,98.0,82.0,96.0,0.798,9.82,4.33,6.79,0.29,1.6,0.319,0.337,0.16,0.245,0.44,,,,91.0,105.0,99.0,46.0,102.0,83.0,112.0,91.0,106.0,,,,,,,0.356,0.252,,,0.379,,1.43,,,1.58,0.96,,94.1,,,93.4,81.8,,0.258,0.36,0.145,,,,,,,0.185,0.277,0.239,,,,0.155,0.211,0.301,99.0,91.0,97.0,0.014,-7.42,86.4,0.333,0.333,0.28600000000000003,,,,,,,,,,,,
2023/06/08,1:11 PM.,BAL,MIL,home,Sunny.,70,680694,LF,3,1,1,1,0,0,0,0,1,1,1,.258,.354,.398,.752,680694,kylebradish,Bradish,Right,Kyle Bradish,BAL,2.83,3.77,168.2,103.0,126.0,105.0,0.759,8.96,2.35,7.04,0.75,1.61,0.258,0.336,0.116,0.269,0.432,135.0,105.0,109.0,101.0,96.0,96.0,88.0,104.0,98.0,171.0,105.0,116.0,,,,,,,0.207,0.224,,,0.313,0.173,-1.0,,,1.53,1.77,3.99,94.5,,,95.0,88.1,84.8,0.23,0.367,0.15,,,,,,,0.366,0.602,0.15,,,,0.168,0.272,0.364,97.0,100.0,98.0,0.083,-0.36,90.8,0.259,0.37,0.114,0.142,0.165,0.35600000000000004,,,,,,,,,
2023/06/07,6:41 PM.,BAL,MIL,home,Roof Closed.,70,665152,LF,5,0,1,0,0,0,0,0,0,3,4,.257,.352,.394,.746,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.12,4.93,172.2,102.0,99.0,100.0,0.785,8.18,2.87,8.91,1.41,1.05,0.282,0.38,0.145,0.311,0.423,93.0,94.0,98.0,106.0,103.0,102.0,84.0,106.0,99.0,116.0,98.0,105.0,104.0,106.0,102.0,,,,0.145,0.371,0.239,,0.033,0.089,0.43,0.02,,1.81,-1.43,-2.29,94.6,88.8,,91.9,82.8,78.1,0.269,0.38,0.081,,,,0.222,0.416,0.27699999999999997,0.252,0.409,0.262,,,,0.25,0.417,0.244,86.0,91.0,93.0,0.123,-1.4,85.3,0.26,0.377,0.27,0.347,0.592,0.24,,,,,,,,,
2023/06/06,6:40 PM.,BAL,MIL,home,Roof Closed.,71,502043,LF,4,1,3,2,0,0,0,2,1,0,1,.258,.355,.399,.754,502043,kylegibson,Gibson,Right,Kyle Gibson,BAL,4.73,4.8,192.0,100.0,93.0,97.0,0.768,7.36,2.58,9.28,1.08,1.57,0.205,0.452,0.136,0.311,0.394,90.0,102.0,99.0,78.0,96.0,89.0,93.0,101.0,97.0,110.0,105.0,107.0,90.0,95.0,92.0,,,,0.261,0.134,0.166,,0.184,0.084,-0.69,-1.02,,-0.08,2.01,0.01,92.1,89.8,,91.9,81.6,79.5,0.289,0.459,0.11,,,,0.345,0.552,0.154,0.287,0.55,0.156,,,,0.147,0.228,0.47100000000000003,88.0,99.0,96.0,0.17,-0.29,85.5,0.288,0.453,0.29100000000000004,0.279,0.419,0.40399999999999997,,,,,,,,,
2023/06/05,7:10 PM.,CIN,MIL,away,Partly Cloudy.,80,671096,DH,4,0,0,0,0,0,0,0,0,3,2,.249,.346,.383,.729,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.87,3.93,109.1,101.0,87.0,97.0,0.765,9.88,3.62,8.23,1.32,0.55,0.255,0.381,0.133,0.347,0.404,99.0,103.0,103.0,81.0,99.0,91.0,,,,106.0,107.0,113.0,,,,,,,,0.501,,,0.165,0.171,-0.02,,,,1.61,-2.27,92.7,,,,82.9,80.9,,,,,,,,,,0.249,0.459,0.198,,,,0.174,0.304,0.29,72.0,96.0,91.0,0.163,0.99,86.6,0.203,0.27,0.39399999999999996,0.367,0.65,0.26,,,,,,,,,
2023/06/04,1:42 PM.,CIN,MIL,away,Partly Cloudy.,81,594902,LF,3,0,0,0,0,0,0,1,1,0,0,.254,.352,.390,.742,594902,benlively,Lively,Right,Ben Lively,CIN,5.38,5.03,88.2,101.0,79.0,95.0,0.814,8.02,2.54,9.74,2.03,1.02,0.301,0.38,0.163,0.312,0.449,101.0,105.0,103.0,80.0,99.0,90.0,83.0,108.0,98.0,71.0,102.0,102.0,98.0,92.0,82.0,,,,0.219,0.321,0.049,,0.243,0.066,-2.09,0.62,,0.24,1.68,-4.42,90.6,88.1,,91.5,80.1,76.3,0.257,0.416,0.153,,,,0.267,0.267,0.257,0.362,0.667,0.18100000000000002,,,,0.158,0.303,0.336,59.0,94.0,89.0,0.102,-1.4,84.4,0.265,0.412,0.133,0.273,0.909,0.128,,,,,,,,,
2023/06/03,4:14 PM.,CIN,MIL,away,Cloudy.,91,668933,LF,4,1,1,0,0,0,1,1,1,0,0,.257,.353,.396,.749,668933,grahamashcraft,Ashcraft,Right,Graham Ashcraft,CIN,4.76,4.96,145.2,99.0,128.0,103.0,0.799,6.86,3.21,9.14,1.42,1.55,0.231,0.353,0.164,0.302,0.435,,,,,,,57.0,90.0,82.0,166.0,102.0,114.0,116.0,98.0,100.0,,,,0.097,,0.529,,0.373,,,0.15,,-1.17,-0.37,,,95.8,,96.5,88.3,,0.286,0.429,0.1,,,,0.292,0.436,0.171,,,,,,,0.221,0.461,0.32899999999999996,,,,0.0,-25.75,90.4,,,,,,,,,,,,,,,
2023/06/02,5:12 PM.,CIN,MIL,away,Clear.,92,682227,LF,4,2,2,0,0,0,0,0,1,2,0,.258,.352,.399,.751,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,98.0,96.0,103.0,64.0,99.0,86.0,,,,132.0,104.0,113.0,106.0,102.0,98.0,,,,,0.372,0.298,,0.102,0.064,-0.15,1.71,,,-1.33,-1.75,92.8,89.3,,,81.7,73.1,,,,,,,0.252,0.433,0.185,0.269,0.433,0.171,,,,0.0,0.0,0.273,97.0,94.0,99.0,0.165,-0.51,84.0,0.183,0.39,0.39899999999999997,0.333,0.6,0.14300000000000002,,,,,,,,,
2023/06/01,1:08 PM.,TOR,MIL,away,Sunny.,75,592332,DH,3,0,1,0,0,0,0,0,1,0,1,.253,.347,.397,.744,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.399,,,,110.0,104.0,105.0,,,,89.0,89.0,94.0,,,,105.0,108.0,109.0,,0.509,,0.384,0.108,,1.13,,0.3,,-0.97,,94.7,,86.3,,83.6,,,,,,,,,,,0.243,0.409,0.172,0.201,0.307,0.43200000000000005,0.348,0.565,0.353,,,,,,,,,,,,,,,,,,,,,
2023/05/31,7:08 PM.,TOR,MIL,away,Clear.,75,666201,LF,4,1,1,0,0,0,0,1,1,1,2,.251,.344,.398,.742,666201,alekmanoah,Manoah,Right,Alek Manoah,TOR,5.87,6.12,87.1,95.0,89.0,93.0,0.804,8.14,6.08,9.58,1.55,0.92,0.231,0.407,0.134,0.369,0.388,,,,91.0,95.0,92.0,92.0,96.0,91.0,94.0,93.0,96.0,,,,,,,0.282,0.29,,,0.3,,-2.16,,,0.68,-1.17,,92.8,,,92.6,80.8,,0.25,0.379,0.129,,,,,,,0.316,0.592,0.244,,,,0.239,0.432,0.28600000000000003,69.0,98.0,89.0,0.128,-1.01,86.3,0.273,0.432,0.2,,,,,,,,,,,,
2023/05/30,7:07 PM.,TOR,MIL,away,Clear.,73,579328,LF,2,0,0,0,0,0,0,0,2,1,3,.251,.343,.401,.744,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,98.0,103.0,105.0,117.0,99.0,102.0,,,,101.0,105.0,108.0,,,,,,,,0.451,,,0.259,0.193,0.05,,,,1.11,0.24,95.1,,,,88.7,83.1,,,,,,,,,,0.27,0.412,0.268,,,,0.225,0.396,0.302,82.0,93.0,83.0,0.097,-1.83,88.7,0.254,0.508,0.193,0.284,0.463,0.307,,,,,,,,,
2023/05/28,1:11 PM.,SF,MIL,home,Sunny.,74,502171,LF,2,2,1,0,0,0,0,1,2,0,0,.254,.340,.405,.745,502171,alexcobb,Cobb,Right,Alex Cobb,SFG,3.87,4.73,151.1,102.0,91.0,100.0,0.808,7.79,2.2,9.69,1.13,2.6,0.216,0.43,0.142,0.356,0.399,,,,61.0,79.0,76.0,92.0,103.0,96.0,113.0,111.0,115.0,,,,78.0,103.0,103.0,0.397,0.003,,0.388,0.051,,-3.47,,0.2,0.33,-1.31,,95.8,,89.5,94.5,86.2,,0.28,0.435,0.129,,,,,,,,,,0.239,0.386,0.24600000000000002,0.333,0.542,0.306,,,,,,,,,,0.379,0.638,0.32,115.0,95.0,103.0,0.162,-1.38,83.6,,,
2023/05/27,3:11 PM.,SF,MIL,home,Sunny.,70,657277,LF,4,0,0,0,0,0,0,0,0,2,1,.251,.332,.404,.736,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.143,0.325,0.419,,,,88.0,119.0,100.0,105.0,103.0,98.0,91.0,100.0,111.0,,,,,,,0.336,0.037,,,0.212,,-1.37,,,0.31,0.11,,92.6,,,92.3,84.3,,0.313,0.481,0.10400000000000001,,,,,,,0.226,0.452,0.3,,,,0.208,0.369,0.28600000000000003,112.0,106.0,103.0,0.416,2.18,87.5,0.225,0.309,0.228,,,,,,,,,,,,
2023/05/26,7:10 PM.,SF,MIL,home,Roof Closed.,67,622072,LF,2,0,0,0,0,0,0,0,0,0,2,.257,.338,.413,.751,622072,alexwood,Wood,Left,Alex Wood,SFG,4.33,4.64,97.2,97.0,87.0,93.0,0.802,6.82,3.87,9.03,0.83,1.23,0.249,0.393,0.138,0.285,0.413,,,,,,,80.0,95.0,88.0,110.0,93.0,95.0,,,,,,,0.446,,,,0.261,,,,,0.12,-0.8,,,,,91.5,82.4,,0.234,0.433,0.242,,,,,,,,,,,,,0.288,0.441,0.25,78.0,103.0,99.0,0.292,-0.33,85.2,0.273,0.388,0.154,,,,,,,0.001,-5.8,83.6,,,
2023/05/25,6:41 PM.,SF,MIL,home,Roof Closed.,65,518397,LF,3,0,1,1,0,0,0,0,1,2,0,.260,.342,.418,.760,518397,scottalexander,Alexander,Left,Scott Alexander,SFG,4.66,3.61,48.1,101.0,87.0,97.0,0.82,5.77,2.05,10.24,0.37,3.19,0.176,0.43,0.158,0.333,0.465,,,,,,,84.0,101.0,97.0,110.0,103.0,103.0,,,,,,,0.758,,,,0.16,,,,,0.64,1.06,,,,,92.8,83.0,,0.306,0.389,0.146,,,,,,,,,,,,,0.192,0.308,0.396,68.0,92.0,87.0,0.082,0.57,85.9,0.167,0.25,0.34600000000000003,,,,,,,,,,,,
2023/05/24,12:10 PM.,HOU,MIL,home,Roof Closed.,65,656232,LF,4,1,1,1,0,0,0,0,0,0,0,.259,.338,.414,.752,656232,brandonbielak,Bielak,Right,Brandon Bielak,HOU,3.83,5.44,80.0,97.0,85.0,91.0,0.785,6.98,4.05,9.68,1.35,1.55,0.192,0.46,0.14,0.364,0.394,101.0,90.0,88.0,73.0,97.0,87.0,78.0,99.0,88.0,99.0,93.0,95.0,,,,,,,0.214,0.306,0.004,,0.118,0.111,-1.15,-0.48,,-0.12,-3.74,-0.81,92.1,84.4,,92.1,82.0,79.5,0.338,0.477,0.135,,,,,,,0.273,0.505,0.159,,,,0.333,0.722,0.355,90.0,100.0,98.0,0.247,0.83,87.1,0.227,0.352,0.332,0.217,0.217,0.302,,,,,,,,,
2023/05/23,6:40 PM.,HOU,MIL,home,Clear.,73,641585,LF,3,0,1,0,0,0,0,0,1,1,0,.259,.340,.412,.752,641585,jpfrance,"France, J",Right,J.P. France,HOU,3.83,4.86,136.1,100.0,103.0,102.0,0.797,6.67,3.1,9.11,1.25,1.14,0.244,0.392,0.135,0.309,0.454,116.0,98.0,100.0,101.0,97.0,98.0,,,,109.0,99.0,105.0,116.0,108.0,103.0,,,,,0.431,0.189,,0.091,0.137,-0.26,0.33,,,-2.09,0.16,93.0,86.8,,,80.1,76.0,,,,,,,0.317,0.446,0.22,0.308,0.481,0.106,,,,0.25,0.533,0.298,75.0,102.0,112.0,0.152,2.51,81.8,0.183,0.237,0.308,0.145,0.273,0.42200000000000004,,,,,,,,,
2023/05/22,6:41 PM.,HOU,MIL,home,Partly Cloudy.,69,664299,LF,4,0,1,0,0,0,0,0,0,0,1,.257,.337,.413,.750,664299,cristianjavier,Javier,Right,Cristian Javier,HOU,4.56,4.42,162.0,98.0,102.0,100.0,0.762,8.83,3.44,7.94,1.39,0.46,0.266,0.368,0.15,0.331,0.399,,,,101.0,98.0,98.0,,,,108.0,95.0,102.0,,,,,,,,0.584,,,0.3,,0.44,,,,-0.09,,92.7,,,,79.5,,,,,,,,,,,0.236,0.455,0.265,,,,0.211,0.367,0.287,78.0,101.0,98.0,0.041,-1.29,83.7,0.28,0.36,0.392,0.268,0.366,0.195,91.0,99.0,102.0,0.075,-1.17,76.6,,,
2023/05/21,1:40 PM.,TB,MIL,away,Dome.,72,656222,LF,4,1,2,1,0,0,0,1,0,1,1,.258,.339,.417,.756,656222,jalenbeeks,Beeks,Left,Jalen Beeks,TBR,5.95,3.61,42.1,95.0,89.0,90.0,0.729,9.99,4.46,8.93,0.85,1.17,0.285,0.366,0.154,0.309,0.438,,,,65.0,95.0,83.0,,,,106.0,71.0,93.0,92.0,105.0,98.0,,,,,0.435,0.107,,0.015,,-0.49,2.73,,,-16.85,,94.3,85.7,,,81.8,,,,,,,,0.125,0.125,0.588,0.243,0.419,0.252,,,,1.0,1.5,0.0,112.0,95.0,96.0,0.443,-0.18,89.6,0.267,0.373,0.317,,,,,,,,,,,,
2023/05/20,4:10 PM.,TB,MIL,away,Dome.,72,621107,LF,4,0,1,0,0,0,1,0,0,0,0,.252,.331,.409,.740,621107,zacheflin,Eflin,Right,Zach Eflin,TBR,3.5,3.02,177.2,108.0,98.0,106.0,0.775,9.42,1.22,8.0,0.96,1.48,0.21,0.449,0.159,0.343,0.449,100.0,110.0,107.0,83.0,123.0,112.0,98.0,107.0,105.0,122.0,120.0,127.0,100.0,106.0,102.0,,,,0.319,0.062,0.261,,0.044,0.263,2.53,-0.01,,1.09,0.79,1.27,92.9,88.5,,92.2,80.0,79.1,0.259,0.315,0.129,,,,0.307,0.588,0.16699999999999998,0.104,0.208,0.32,,,,0.6,0.6,0.5,75.0,99.0,94.0,0.051,-0.61,86.4,0.192,0.308,0.28300000000000003,0.185,0.339,0.349,,,,,,,,,
