date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,FO%,wFO/C,vFO
2023/09/18,6:41 PM.,NYM,MIA,home,Roof Closed.,72,676130,LF,3,0,2,0,0,0,0,0,0,0,1,.289,.358,.411,.769,676130,josebutto,Buttó,Right,José Buttó,NYM,3.64,3.9,42.0,96.0,97.0,94.0,0.745,8.14,4.93,7.07,0.64,1.07,0.161,0.458,0.161,0.314,0.364,83.0,96.0,92.0,76.0,88.0,94.0,101.0,96.0,94.0,86.0,86.0,79.0,109.0,104.0,106.0,0.056,0.509,0.151,0.055,0.229,1.65,4.53,1.11,1.56,-2.44,93.8,85.5,92.9,86.2,80.0,0.174,0.275,0.22699999999999998,0.316,0.395,0.373,0.154,0.308,0.389,0.2,0.2,0.267,0.231,0.231,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/17,1:41 PM.,ATL,MIA,home,Roof Closed.,72,450203,CF,4,0,0,0,0,0,2,0,1,1,4,.283,.354,.406,.760,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,3.64,4.64,163.1,96.0,106.0,98.0,0.704,10.08,4.57,8.27,0.77,1.26,0.222,0.389,0.137,0.343,0.379,100.0,91.0,88.0,139.0,100.0,111.0,74.0,95.0,89.0,81.0,89.0,83.0,,,,0.068,0.317,,0.432,0.103,-1.26,-4.03,,1.79,0.86,94.9,86.0,94.2,,82.3,0.292,0.482,0.225,0.25,0.339,0.336,,,,0.177,0.258,0.42,0.474,0.711,0.071,89.0,92.0,87.0,0.08,0.25,89.1,0.296,0.407,0.3,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/16,4:10 PM.,ATL,MIA,home,Roof Closed.,72,694363,LF,3,1,1,0,0,0,1,0,2,2,0,.290,.358,.415,.773,694363,jaredshuster,Shuster,Left,Jared Shuster,ATL,5.81,5.44,52.2,96.0,64.0,87.0,0.802,5.13,4.44,9.06,1.2,0.76,0.277,0.382,0.133,0.272,0.417,61.0,88.0,85.0,,,,59.0,99.0,83.0,,,,75.0,98.0,95.0,,0.441,0.329,,0.23,-0.83,,1.11,,-2.01,91.4,82.2,,84.9,,0.311,0.489,0.099,0.26,0.5,0.33299999999999996,0.197,0.311,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/15,6:43 PM.,ATL,MIA,home,Roof Closed.,72,693821,RF,2,1,2,1,0,0,1,0,0,0,0,.289,.352,.417,.769,693821,bryceelder,Elder,Right,Bryce Elder,ATL,3.81,4.61,174.2,99.0,80.0,95.0,0.785,6.6,3.25,8.24,0.98,1.68,0.218,0.462,0.113,0.357,0.382,64.0,95.0,91.0,,,,62.0,100.0,86.0,82.0,96.0,90.0,92.0,103.0,107.0,0.376,0.134,0.353,,0.137,-1.13,0.01,0.97,,1.3,90.7,85.0,89.5,82.7,,0.286,0.495,0.19399999999999998,0.188,0.235,0.23600000000000002,0.21,0.393,0.337,,,,0.28,0.402,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/14,1:10 PM.,MIL,MIA,away,Partly Cloudy.,70,605288,SS,4,0,0,0,0,0,0,0,0,2,0,.281,.345,.404,.749,605288,adrianhouser,Houser,Right,Adrian Houser,MIL,4.12,4.21,111.1,103.0,83.0,97.0,0.839,7.76,2.75,9.78,1.05,1.32,0.194,0.409,0.134,0.36,0.424,88.0,92.0,93.0,67.0,100.0,95.0,80.0,103.0,92.0,86.0,104.0,100.0,83.0,102.0,99.0,0.471,0.238,0.166,0.085,0.04,0.29,0.46,-0.89,-1.08,-2.07,93.4,84.3,92.1,82.3,79.4,0.227,0.34,0.237,0.294,0.471,0.2,0.258,0.484,0.284,0.269,0.538,0.127,0.296,0.396,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/13,6:42 PM.,MIL,MIA,away,Roof Closed.,70,656730,CF,4,0,2,1,0,0,1,0,0,0,1,.287,.352,.414,.766,656730,trevormegill,Megill,Right,Trevor Megill,MIL,3.63,3.23,34.2,99.0,123.0,111.0,0.704,13.5,3.12,9.09,0.52,0.68,0.386,0.181,0.157,0.313,0.442,,,,,,,126.0,101.0,111.0,,,,,,,,0.721,,,,0.32,,,,,99.1,,,,,0.281,0.406,0.254,,,,,,,0.222,0.333,0.535,,,,,,,,,,,,,123.0,99.0,116.0,0.279,0.13,85.8,,,,,,,,,,,,,,,,,,
2023/09/12,6:40 PM.,MIL,MIA,away,Roof Closed.,68,642547,RF,1,0,0,0,0,0,0,0,0,0,0,.282,.349,.406,.755,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,50.0,97.0,85.0,85.0,103.0,110.0,117.0,104.0,110.0,,,,115.0,99.0,104.0,,0.512,0.218,0.124,0.146,0.89,,0.36,0.2,0.15,94.4,88.6,,82.4,76.9,0.213,0.387,0.292,0.224,0.388,0.312,0.203,0.392,0.46,0.214,0.381,0.33799999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/11,6:40 PM.,MIL,MIA,away,Roof Closed.,70,605540,LF,2,0,1,0,0,0,0,0,0,1,0,.284,.351,.408,.759,605540,brandonwoodruff,Woodruff,Right,Brandon Woodruff,MIL,2.28,2.82,67.0,107.0,114.0,110.0,0.749,9.94,2.01,5.37,1.21,0.81,0.236,0.416,0.168,0.298,0.474,111.0,104.0,118.0,89.0,103.0,105.0,125.0,112.0,115.0,108.0,100.0,96.0,108.0,107.0,108.0,0.22,0.41,0.095,0.079,0.197,0.95,2.76,-0.33,-0.01,3.2,95.8,85.8,95.0,86.9,82.9,0.177,0.385,0.314,0.098,0.118,0.38,0.278,0.611,0.268,0.182,0.455,0.409,0.193,0.281,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/10,1:09 PM.,PHI,MIA,away,Partly Cloudy.,74,624133,2B,5,0,0,0,0,0,0,0,0,4,3,.281,.349,.407,.756,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,4.18,4.36,125.0,101.0,85.0,97.0,0.79,8.57,3.46,9.29,0.94,1.58,0.232,0.394,0.164,0.34,0.393,70.0,98.0,99.0,95.0,104.0,102.0,69.0,98.0,88.0,96.0,104.0,102.0,91.0,113.0,108.0,0.28,0.215,0.005,0.19,0.184,-0.65,0.52,4.65,1.95,-1.45,93.4,82.9,92.8,84.1,75.8,0.304,0.478,0.21899999999999997,0.267,0.444,0.311,0.2,0.2,0.0,0.143,0.226,0.377,0.289,0.409,0.1,97.0,97.0,94.0,0.126,-1.27,87.5,0.34,0.585,0.179,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/09,6:22 PM.,PHI,MIA,away,Partly Cloudy.,73,605400,SS,4,1,3,0,0,1,1,0,0,1,1,.290,.359,.420,.779,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,4.46,3.71,193.2,107.0,101.0,106.0,0.76,9.39,2.09,8.27,1.49,1.13,0.215,0.477,0.156,0.323,0.419,70.0,111.0,103.0,,,,95.0,107.0,103.0,100.0,107.0,101.0,,,,0.188,0.295,,,0.126,-0.03,0.46,,,0.14,92.7,85.9,91.8,,,0.246,0.503,0.217,0.22,0.319,0.319,,,,0.221,0.398,0.33299999999999996,0.279,0.416,0.106,111.0,110.0,105.0,0.075,0.4,86.3,0.246,0.508,0.301,118.0,105.0,113.0,0.316,0.47,79.4,,,,,,,,,,,,,,,,,,
2023/09/08,7:08 PM.,PHI,MIA,away,Cloudy.,80,650911,RF,2,0,1,0,0,0,0,0,0,0,0,.278,.350,.392,.742,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.44,3.74,99.1,101.0,83.0,100.0,0.759,8.7,1.45,7.97,1.45,2.19,0.21,0.445,0.157,0.342,0.429,75.0,98.0,104.0,,,,,,,71.0,104.0,97.0,123.0,100.0,100.0,0.462,,0.211,,0.327,,0.65,0.2,,1.1,,81.8,92.1,82.7,,,,,0.148,0.274,0.43,0.25,0.456,0.297,,,,0.297,0.523,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/07,6:40 PM.,LAD,MIA,home,Roof Closed.,72,686752,LF,1,0,1,0,0,0,0,0,0,0,0,.276,.349,.391,.740,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,LAD,2.14,3.23,42.0,104.0,98.0,103.0,0.757,8.14,1.07,5.79,1.5,0.8,0.274,0.416,0.177,0.301,0.424,87.0,115.0,113.0,,,,100.0,100.0,97.0,,,,115.0,96.0,101.0,,0.506,0.147,,0.347,1.83,,0.98,,0.55,94.0,86.3,,88.8,,0.156,0.344,0.22399999999999998,0.203,0.391,0.326,0.174,0.348,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/06,6:40 PM.,LAD,MIA,home,Roof Closed.,72,458681,CF,1,0,0,0,0,0,0,0,0,0,0,.271,.345,.387,.732,458681,lancelynn,Lynn,Right,Lance Lynn,- - -,5.73,4.86,183.2,102.0,94.0,100.0,0.74,9.36,3.28,9.26,2.16,0.82,0.241,0.419,0.17,0.32,0.403,56.0,95.0,90.0,109.0,97.0,106.0,92.0,105.0,104.0,93.0,95.0,87.0,97.0,98.0,106.0,0.126,0.437,0.063,0.074,0.07,-0.4,1.21,-3.65,-2.24,-1.23,92.4,84.9,91.4,83.0,80.8,0.255,0.52,0.316,0.302,0.372,0.29600000000000004,0.286,0.446,0.308,0.208,0.453,0.354,0.239,0.394,0.177,104.0,105.0,99.0,0.23,-0.35,88.7,0.273,0.512,0.267,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/05,6:41 PM.,LAD,MIA,home,Roof Closed.,72,477132,RF,3,0,0,0,0,0,0,0,1,1,3,.273,.347,.390,.737,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,34.0,98.0,91.0,94.0,100.0,106.0,96.0,97.0,96.0,90.0,115.0,107.0,112.0,102.0,104.0,0.002,0.369,0.434,0.175,0.017,0.23,14.84,2.06,0.13,-0.46,90.7,84.6,90.9,86.5,73.4,0.281,0.451,0.09699999999999999,0.2,0.2,0.6,0.167,0.338,0.36200000000000004,0.212,0.338,0.33799999999999997,0.0,0.0,0.0,,,,,,,,,,,,,,,,116.0,127.0,165.0,0.002,13.51,84.4,0.0,0.0,0.0,,,,,,,,,
2023/09/02,4:05 PM.,WSH,MIA,away,Sunny.,84,592866,CF,4,0,0,0,0,0,1,0,0,2,1,.278,.349,.397,.746,592866,trevorwilliams,Williams,Right,Trevor Williams,WSN,5.55,5.66,144.1,104.0,81.0,96.0,0.831,6.92,3.3,11.1,2.12,0.96,0.253,0.4,0.163,0.329,0.387,68.0,105.0,96.0,97.0,95.0,95.0,80.0,107.0,96.0,91.0,100.0,95.0,94.0,114.0,103.0,0.146,0.433,0.182,0.069,0.171,-0.77,-0.45,-1.7,-1.93,-2.25,89.7,83.3,88.2,80.9,76.7,0.283,0.563,0.16699999999999998,0.315,0.483,0.19899999999999998,0.313,0.5,0.281,0.314,0.629,0.2,0.325,0.458,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/01,7:05 PM.,WSH,MIA,away,Clear.,75,663623,RF,5,1,2,0,0,1,2,0,0,2,1,.286,.360,.408,.768,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.61,5.1,121.0,101.0,99.0,98.0,0.839,7.36,4.02,8.78,1.49,1.08,0.252,0.369,0.125,0.374,0.427,78.0,99.0,95.0,110.0,100.0,103.0,92.0,100.0,94.0,101.0,101.0,98.0,,,,0.287,0.356,,0.306,0.051,-0.01,-0.75,,0.08,1.21,94.5,87.8,93.9,,80.9,0.208,0.376,0.192,0.25,0.5,0.156,,,,0.197,0.362,0.257,0.348,0.525,0.09300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/31,7:06 PM.,WSH,MIA,away,Clear.,78,672851,3B,3,0,2,0,0,0,0,0,1,1,0,.282,.358,.387,.745,672851,joanadon,Adon,Right,Joan Adon,WSN,6.45,5.59,51.2,98.0,89.0,93.0,0.802,8.36,4.18,10.45,1.39,1.0,0.242,0.406,0.145,0.406,0.411,86.0,98.0,102.0,104.0,101.0,102.0,79.0,101.0,90.0,89.0,89.0,79.0,98.0,93.0,93.0,0.136,0.395,0.113,0.205,0.152,0.26,-1.28,-2.74,-3.51,0.68,94.5,88.1,94.2,87.3,80.8,0.288,0.411,0.221,0.148,0.222,0.33899999999999997,0.318,0.455,0.28600000000000003,0.315,0.63,0.253,0.314,0.629,0.013999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/08/29,6:40 PM.,TB,MIA,home,Roof Closed.,72,650644,PH,0,0,0,0,0,0,0,0,1,0,0,.273,.348,.381,.729,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,3.46,3.69,122.1,106.0,105.0,104.0,0.786,8.53,2.43,8.02,0.88,1.0,0.212,0.458,0.149,0.307,0.413,,,,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,128.0,111.0,116.0,0.185,0.123,0.058,0.244,,-0.65,1.59,0.15,0.77,,91.8,,92.4,82.5,78.1,0.359,0.436,0.243,,,,0.172,0.345,0.23199999999999998,0.188,0.323,0.273,0.202,0.292,0.14400000000000002,96.0,104.0,103.0,0.372,1.13,87.7,0.261,0.406,0.23399999999999999,,,,,,,58.0,95.0,95.0,0.017,-6.33,85.2,0.5,0.625,0.182,,,,,,,,,
2023/08/23,1:10 PM.,SD,MIA,away,Sunny.,74,607625,PH,1,0,0,0,0,0,0,0,0,1,3,.273,.344,.381,.725,607625,sethlugo,"Lugo, S",Right,Seth Lugo,SDP,3.57,4.42,146.1,102.0,103.0,103.0,0.805,8.61,2.21,8.61,1.17,1.34,0.209,0.438,0.139,0.351,0.459,85.0,96.0,97.0,122.0,100.0,105.0,87.0,108.0,103.0,97.0,102.0,97.0,114.0,96.0,108.0,0.199,0.318,0.111,0.313,0.059,0.36,1.87,-0.6,0.26,-2.89,93.4,86.3,93.2,85.2,79.6,0.246,0.464,0.214,0.303,0.576,0.34299999999999997,0.25,0.417,0.28600000000000003,0.287,0.384,0.265,0.208,0.36,0.08900000000000001,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.226,,,,,,
2023/08/01,6:41 PM.,PHI,MIA,home,Roof Closed.,72,624133,CF,0,0,0,0,0,0,0,0,0,0,0,.275,.346,.384,.730,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,4.18,4.36,125.0,101.0,85.0,97.0,0.79,8.57,3.46,9.29,0.94,1.58,0.232,0.394,0.164,0.34,0.393,70.0,98.0,99.0,95.0,104.0,102.0,69.0,98.0,88.0,96.0,104.0,102.0,91.0,113.0,108.0,0.28,0.215,0.005,0.19,0.184,-0.65,0.52,4.65,1.95,-1.45,93.4,82.9,92.8,84.1,75.8,0.304,0.478,0.21899999999999997,0.267,0.444,0.311,0.2,0.2,0.0,0.143,0.226,0.377,0.289,0.409,0.1,97.0,97.0,94.0,0.126,-1.27,87.5,0.34,0.585,0.179,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/30,1:42 PM.,DET,MIA,home,Roof Closed.,72,669373,CF,4,1,3,1,0,0,2,0,0,0,0,.275,.346,.384,.730,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.8,2.3,80.1,106.0,97.0,107.0,0.716,11.43,1.57,6.5,0.45,1.64,0.209,0.435,0.168,0.272,0.455,93.0,102.0,114.0,,,,94.0,112.0,103.0,98.0,109.0,105.0,114.0,104.0,109.0,0.122,0.36,0.207,,0.244,2.49,2.7,-0.49,,3.25,95.8,84.3,95.9,87.6,,0.206,0.299,0.256,0.167,0.205,0.506,0.224,0.448,0.24,0.143,0.214,0.36,0.229,0.286,0.17300000000000001,,,,,,,,,,81.0,90.0,93.0,0.068,0.54,76.4,,,,,,,,,,,,,,,,,,
2023/07/29,4:11 PM.,DET,MIA,home,Roof Closed.,72,689225,LF,0,0,0,0,0,0,0,0,0,0,0,.261,.336,.366,.702,689225,beaubrieske,Brieske,Right,Beau Brieske,DET,3.6,3.9,35.0,104.0,110.0,103.0,0.803,7.97,3.09,9.26,1.03,1.18,0.239,0.45,0.174,0.275,0.386,108.0,104.0,112.0,,,,110.0,105.0,104.0,110.0,101.0,90.0,114.0,106.0,106.0,0.194,0.402,0.163,,0.24,0.19,0.53,-0.46,,-0.75,96.6,88.8,96.0,87.3,,0.28,0.4,0.15,0.263,0.474,0.325,0.235,0.353,0.23800000000000002,,,,0.241,0.414,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
